ai	 a1 j
ngọn	 ŋ ɔ6 n
ngọng	 ŋ ɔ6 ŋ͡m
ngọt	 ŋ ɔ6 t
ngỏ	 ŋ ɔ4
ngốc	 ŋ o5 k͡p
ngồi	 ŋ o2 j
ngổn	 ŋ o4 n
ngỗ	 ŋ o3
ngộ	 ŋ o6
ngộp	 ŋ o6 p
ngột	 ŋ o6 t
ngớ	 ŋ ɤ5
ngớt	 ŋ ɤ5 t
ngờ	 ŋ ɤ2
ngời	 ŋ ɤ2 j
ngỡ	 ŋ ɤ3
ngợi	 ŋ ɤ6 j
ngụ	 ŋ u6
ngục	 ŋ u6 k͡p
ngụm	 ŋ u6 m
ngụy	 ŋ u6 j
ngủ	 ŋ u4
ngủi	 ŋ u4 j
ngứa	 ŋ ɯə5
ngừa	 ŋ ɯə2
ngừng	 ŋ ɯ2 ŋ
người	 ŋ ɯə2 j
ngửa	 ŋ ɯə4
ngửi	 ŋ ɯ4 j
ngữ	 ŋ ɯ3
ngự	 ŋ ɯ6
ngựa	 ŋ ɯə6
ngực	 ŋ ɯ6 k
nha	 ɲ a1
nhai	 ɲ a1 j
nham	 ɲ a1 m
nhan	 ɲ a1 n
nhang	 ɲ a1 ŋ
nhanh	 ɲ ɛ1 ɲ
nhao	 ɲ a1 w
nhau	 ɲ ă1 w
nhe	 ɲ ɛ1
nhem	 ɲ ɛ1 m
nhen	 ɲ ɛ1 n
nheo	 ɲ eo1
nhi	 ɲ i1
nhiên	 ɲ iə1 n
nhiêu	 ɲ iə1 w
nhiếc	 ɲ iə5 k
nhiếp	 ɲ iə5 p
nhiều	 ɲ iə2 w
nhiễm	 ɲ iə3 m
nhiễu	 ɲ iə3 w
nhiệm	 ɲ iə6 m
nhiệt	 ɲ iə6 t
nho	 ɲ ɔ1
nhoi	 ɲ ɔ1 j
nhoáng	 ɲw ʷa5 ŋ
nhu	 ɲ u1
nhung	 ɲ u1 ŋ͡m
nhuyễn	 ɲw ʷiə3 n
nhuần	 ɲw ʷɤ̆2 n
nhuận	 ɲw ʷɤ̆6 n
nhuệ	 ɲw ʷe6
nhuốc	 ɲ uə5 k
nhuộm	 ɲ uə6 m
nhà	 ɲ a2
nhàm	 ɲ a2 m
nhàn	 ɲ a2 n
nhàng	 ɲ a2 ŋ
nhào	 ɲ a2 w
nhàu	 ɲ ă2 w
nhá	 ɲ a5
nhác	 ɲ a5 k
nhái	 ɲ a5 j
nhánh	 ɲ ɛ5 ɲ
nháp	 ɲ a5 p
nhát	 ɲ a5 t
nháy	 ɲ ă5 j
nhân	 ɲ ɤ̆1 n
nhã	 ɲ a3
nhãn	 ɲ a3 n
nhè	 ɲ ɛ2
nhé	 ɲ ɛ5
nhét	 ɲ ɛ5 t
nhì	 ɲ i2
nhìn	 ɲ i2 n
nhí	 ɲ i5
nhím	 ɲ i5 m
nhòa	 ɲw ʷa2
nhó	 ɲ ɔ5
nhóm	 ɲ ɔ5 m
nhót	 ɲ ɔ5 t
nhô	 ɲ o1
nhông	 ɲ o1 ŋ͡m
nhú	 ɲ u5
nhúc	 ɲ u5 k͡p
nhúm	 ɲ u5 m
nhún	 ɲ u5 n
nhúng	 ɲ u5 ŋ͡m
nhút	 ɲ u5 t
nhăn	 ɲ ă1 n
nhăng	 ɲ ă1 ŋ
nhũ	 ɲ u3
nhũi	 ɲ u3 j
nhũng	 ɲ u3 ŋ͡m
nhơ	 ɲ ɤ1
nhơi	 ɲ ɤ1 j
như	 ɲ ɯ1
nhưng	 ɲ ɯ1 ŋ
nhương	 ɲ ɯə1 ŋ
nhướng	 ɲ ɯə5 ŋ
nhường	 ɲ ɯə2 ŋ
nhược	 ɲ ɯə6 k
nhượng	 ɲ ɯə6 ŋ
nhạc	 ɲ a6 k
nhạn	 ɲ a6 n
nhạnh	 ɲ ɛ6 ɲ
nhạo	 ɲ a6 w
nhạt	 ɲ a6 t
nhạy	 ɲ ă6 j
nhả	 ɲ a4
nhải	 ɲ a4 j
nhảm	 ɲ a4 m
nhản	 ɲ a4 n
nhảy	 ɲ ă4 j
nhấc	 ɲ ɤ̆5 k
nhấm	 ɲ ɤ̆5 m
nhấn	 ɲ ɤ̆5 n
nhấp	 ɲ ɤ̆5 p
nhất	 ɲ ɤ̆5 t
nhầm	 ɲ ɤ̆2 m
nhẩu	 ɲ ɤ̆4 w
nhẫn	 ɲ ɤ̆3 n
nhậm	 ɲ ɤ̆6 m
nhận	 ɲ ɤ̆6 n
nhập	 ɲ ɤ̆6 p
nhật	 ɲ ɤ̆6 t
nhậu	 ɲ ɤ̆6 w
nhắc	 ɲ ă5 k
nhắm	 ɲ ă5 m
nhắn	 ɲ ă5 n
nhắt	 ɲ ă5 t
nhằm	 ɲ ă2 m
nhằn	 ɲ ă2 n
nhẵn	 ɲ ă3 n
nhặn	 ɲ ă6 n
nhặng	 ɲ ă6 ŋ
nhặt	 ɲ ă6 t
nhẹ	 ɲ ɛ6
nhẹn	 ɲ ɛ6 n
nhẹt	 ɲ ɛ6 t
nhẽo	 ɲ eo3
nhện	 ɲ e6 n
nhỉ	 ɲ i4
nhị	 ɲ i6
nhịn	 ɲ i6 n
nhịp	 ɲ i6 p
nhọ	 ɲ ɔ6
nhọc	 ɲ ɔ6 k͡p
nhọn	 ɲ ɔ6 n
nhọt	 ɲ ɔ6 t
nhỏ	 ɲ ɔ4
nhố	 ɲ o5
nhối	 ɲ o5 j
nhốt	 ɲ o5 t
nhồi	 ɲ o2 j
nhổ	 ɲ o4
nhộn	 ɲ o6 n
nhớ	 ɲ ɤ5
nhớp	 ɲ ɤ5 p
nhờ	 ɲ ɤ2
nhở	 ɲ ɤ4
nhởn	 ɲ ɤ4 n
nhỡ	 ɲ ɤ3
nhục	 ɲ u6 k͡p
nhụi	 ɲ u6 j
nhụt	 ɲ u6 t
nhủ	 ɲ u4
nhủi	 ɲ u4 j
nhức	 ɲ ɯ5 k
nhừ	 ɲ ɯ2
nhử	 ɲ ɯ4
những	 ɲ ɯ3 ŋ
nhựa	 ɲ ɯə6
ni	 n i1
nia	 n iə1
nim	 n i1 m
nin	 n i1 n
ninh	 n i1 ɲ
niu	 n i1 w
niêm	 n iə1 m
niên	 n iə1 n
niêu	 n iə1 w
niềm	 n iə2 m
niệm	 n iə6 m
no	 n ɔ1
noi	 n ɔ1 j
nom	 n ɔ1 m
non	 n ɔ1 n
nu	 n u1
nua	 n uə1
nui	 n u1 j
num	 n u1 m
nun	 n u1 n
nung	 n u1 ŋ͡m
nuôi	 n uə1 j
nuông	 n uə1 ŋ
nuối	 n uə5 j
nuốt	 n uə5 t
nài	 n a2 j
nàn	 n a2 n
nàng	 n a2 ŋ
nào	 n a2 w
này	 n ă2 j
ná	 n a5
nác	 n a5 k
nách	 n a5 tʃ
nám	 n a5 m
nán	 n a5 n
náo	 n a5 w
náp	 n a5 p
nát	 n a5 t
náu	 n ă5 w
nâng	 n ɤ̆1 ŋ
nâu	 n ɤ̆1 w
nây	 n ɤ̆1 j
nã	 n a3
não	 n a3 w
nãy	 n ă3 j
né	 n ɛ5
ném	 n ɛ5 m
nén	 n ɛ5 n
nép	 n ɛ5 p
nét	 n ɛ5 t
nê	 n e1
nêm	 n e1 m
nên	 n e1 n
nêu	 n ɛu1
ních	 n i5 tʃ
nín	 n i5 n
níp	 n i5 p
nít	 n i5 t
níu	 n i5 w
nòi	 n ɔ2 j
nòng	 n ɔ2 ŋ͡m
nó	 n ɔ5
nóc	 n ɔ5 k͡p
nói	 n ɔ5 j
nón	 n ɔ5 n
nóng	 n ɔ5 ŋ͡m
nóp	 n ɔ5 p
nót	 n ɔ5 t
nô	 n o1
nôi	 n o1 j
nôm	 n o1 m
nôn	 n o1 n
nông	 n o1 ŋ͡m
núc	 n u5 k͡p
núi	 n u5 j
núm	 n u5 m
núng	 n u5 ŋ͡m
núp	 n u5 p
nút	 n u5 t
năm	 n ă1 m
năn	 n ă1 n
năng	 n ă1 ŋ
nĩa	 n iə3
nơ	 n ɤ1
nơi	 n ɤ1 j
nương	 n ɯə1 ŋ
nước	 n ɯə5 k
nướng	 n ɯə5 ŋ
nược	 n ɯə6 k
nạ	 n a6
nại	 n a6 j
nạm	 n a6 m
nạn	 n a6 n
nạp	 n a6 p
nạt	 n a6 t
nả	 n a4
nản	 n a4 n
nảy	 n ă4 j
nấc	 n ɤ̆5 k
nấm	 n ɤ̆5 m
nấn	 n ɤ̆5 n
nấng	 n ɤ̆5 ŋ
nấp	 n ɤ̆5 p
nấu	 n ɤ̆5 w
nấy	 n ɤ̆5 j
nần	 n ɤ̆2 n
nầy	 n ɤ̆2 j
nẩy	 n ɤ̆4 j
nắm	 n ă5 m
nắn	 n ă5 n
nắng	 n ă5 ŋ
nắp	 n ă5 p
nằm	 n ă2 m
nặc	 n ă6 k
nặn	 n ă6 n
nặng	 n ă6 ŋ
nẹp	 n ɛ6 p
nẹt	 n ɛ6 t
nẻ	 n ɛ4
nẻo	 n eo4
nếm	 n e5 m
nếp	 n e5 p
nết	 n e5 t
nếu	 n ɛu5
nề	 n e2
nền	 n e2 n
nể	 n e4
nệ	 n e6
nệm	 n e6 m
nỉ	 n i4
nịch	 n i6 tʃ
nịnh	 n i6 ɲ
nịt	 n i6 t
nọ	 n ɔ6
nọc	 n ɔ6 k͡p
nỏ	 n ɔ4
nối	 n o5 j
nốp	 n o5 p
nốt	 n o5 t
nồi	 n o2 j
nồng	 n o2 ŋ͡m
nổ	 n o4
nổi	 n o4 j
nổng	 n o4 ŋ͡m
nỗ	 n o3
nỗi	 n o3 j
nộ	 n o6
nội	 n o6 j
nộn	 n o6 n
nộp	 n o6 p
nới	 n ɤ5 j
nở	 n ɤ4
nỡ	 n ɤ3
nợ	 n ɤ6
nụ	 n u6
nức	 n ɯ5 k
nứt	 n ɯ5 t
nửa	 n ɯə4
nữ	 n ɯ3
nữa	 n ɯə3
oai	 w a1 j
oan	 w ʷa1 n
oanh	 w ʷa1 ɲ
oi	 ɔ1 j
om	 ɔ1 m
ong	 ɔ1 ŋ͡m
oán	 w ʷa5 n
pa	 p a1
pam	 p a1 m
pan	 p a1 n
pha	 f a1
phai	 f a1 j
pham	 f a1 m
phan	 f a1 n
phanh	 f ɛ1 ɲ
phao	 f a1 w
phe	 f ɛ1
phen	 f ɛ1 n
phi	 f i1
phim	 f i1 m
phin	 f i1 n
phinh	 f i1 ɲ
phiu	 f i1 w
phiên	 f iə1 n
phiêu	 f iə1 w
phiếm	 f iə5 m
phiến	 f iə5 n
phiếu	 f iə5 w
phiền	 f iə2 n
pho	 f ɔ1
phong	 f ɔ1 ŋ͡m
phu	 f u1
phui	 f u1 j
phun	 f u1 n
phung	 f u1 ŋ͡m
phy	 f i1
phàm	 f a2 m
phàn	 f a2 n
phàng	 f a2 ŋ
phá	 f a5
phác	 f a5 k
phách	 f a5 tʃ
phái	 f a5 j
phán	 f a5 n
pháo	 f a5 w
pháp	 f a5 p
phát	 f a5 t
phân	 f ɤ̆1 n
phè	 f ɛ2
phèng	 f ɛ2 ŋ
phéc	 f ɛ5 k
phép	 f ɛ5 p
phê	 f e1
phên	 f e1 n
phì	 f i2
phình	 f i2 ɲ
phí	 f i5
phía	 f iə5
phích	 f i5 tʃ
phít	 f i5 t
phò	 f ɔ2
phòng	 f ɔ2 ŋ͡m
phó	 f ɔ5
phóng	 f ɔ5 ŋ͡m
phót	 f ɔ5 t
phô	 f o1
phôi	 f o1 j
phôn	 f o1 n
phông	 f o1 ŋ͡m
phù	 f u2
phùn	 f u2 n
phú	 f u5
phúc	 f u5 k͡p
phúng	 f u5 ŋ͡m
phút	 f u5 t
phăng	 f ă1 ŋ
phũ	 f u3
phơ	 f ɤ1
phơi	 f ɤ1 j
phương	 f ɯə1 ŋ
phước	 f ɯə5 k
phường	 f ɯə2 ŋ
phượng	 f ɯə6 ŋ
phạc	 f a6 k
phạm	 f a6 m
phạt	 f a6 t
phả	 f a4
phải	 f a4 j
phản	 f a4 n
phấn	 f ɤ̆5 n
phất	 f ɤ̆5 t
phần	 f ɤ̆2 n
phẩm	 f ɤ̆4 m
phẩn	 f ɤ̆4 n
phẫn	 f ɤ̆3 n
phẫu	 f ɤ̆3 w
phận	 f ɤ̆6 n
phập	 f ɤ̆6 p
phật	 f ɤ̆6 t
phắt	 f ă5 t
phẳng	 f ă4 ŋ
phế	 f e5
phết	 f e5 t
phếu	 f ɛu5
phỉ	 f i4
phỉnh	 f i4 ɲ
phỏng	 f ɔ4 ŋ͡m
phố	 f o5
phối	 f o5 j
phốt	 f o5 t
phồn	 f o2 n
phồng	 f o2 ŋ͡m
phổ	 f o4
phổi	 f o4 j
phới	 f ɤ5 j
phớt	 f ɤ5 t
phờ	 f ɤ2
phỡn	 f ɤ3 n
phụ	 f u6
phục	 f u6 k͡p
phụng	 f u6 ŋ͡m
phụt	 f u6 t
phủ	 f u4
phủi	 f u4 j
phừng	 f ɯ2 ŋ
pi	 p i1
pim	 p i1 m
pit	 p i1 t
pu	 p u1
pác	 p a5 k
pát	 p a5 t
pê	 p e1
pít	 p i5 t
pô	 p o1
pôn	 p o1 n
pông	 p o1 ŋ͡m
púp	 p u5 p
pạt	 p a6 t
pẹt	 p ɛ6 t
pốt	 p o5 t
qua	 kw a1
quai	 kw a1 j
quan	 kw a1 n
quang	 kw a1 ŋ
quanh	 kw ɛ1 ɲ
quay	 kw ă1 j
que	 kw ɛ1
quen	 kw ɛ1 n
queo	 kw eo1
qui	 kw i1
quy	 kw i1
quyên	 kw iɛ1 n
quyến	 kw iɛ5 n
quyết	 kw iɛ5 t
quyền	 kw iɛ2 n
quyển	 kw iɛ4 n
quyện	 kw iɛ6 n
quyệt	 kw iɛ6 t
quà	 kw a2
quàn	 kw a2 n
quàng	 kw a2 ŋ
quá	 kw a5
quách	 kw a5 tʃ
quái	 kw a5 j
quán	 kw a5 n
quáng	 kw a5 ŋ
quát	 kw a5 t
quân	 kw ɤ̆1 n
quây	 kw ɤ̆1 j
quãng	 kw a3 ŋ
què	 kw ɛ2
quét	 kw ɛ5 t
quê	 kw e1
quên	 kw e1 n
quí	 kw i5
quý	 kw i5
quăn	 kw ă1 n
quăng	 kw ă1 ŋ
quạ	 kw a6
quại	 kw a6 j
quạng	 kw a6 ŋ
quạnh	 kw ɛ6 ɲ
quạt	 kw a6 t
quả	 kw a4
quản	 kw a4 n
quảng	 kw a4 ŋ
quấn	 kw ɤ̆5 n
quất	 kw ɤ̆5 t
quấy	 kw ɤ̆5 j
quần	 kw ɤ̆2 n
quẩn	 kw ɤ̆4 n
quẫn	 kw ɤ̆3 n
quận	 kw ɤ̆6 n
quật	 kw ɤ̆6 t
quậy	 kw ɤ̆6 j
quắc	 kw ă5 k
quắp	 kw ă5 p
quắt	 kw ă5 t
quằn	 kw ă2 n
quẳng	 kw ă4 ŋ
quặc	 kw ă6 k
quặn	 kw ă6 n
quặng	 kw ă6 ŋ
quặt	 kw ă6 t
quẹo	 kw eo6
quẻ	 kw ɛ4
quẽ	 kw ɛ3
quế	 kw e5
quệ	 kw e6
quốc	 kw o5 k͡p
quờ	 kw ɤ2
quở	 kw ɤ4
quỳ	 kw i2
quỵ	 kw i6
quỷ	 kw i4
quỹ	 kw i3
ra	 ʐ a1
rai	 ʐ a1 j
ram	 ʐ a1 m
ran	 ʐ a1 n
rang	 ʐ a1 ŋ
ranh	 ʐ ɛ1 ɲ
rao	 ʐ a1 w
rau	 ʐ ă1 w
re	 ʐ ɛ1
rem	 ʐ ɛ1 m
ren	 ʐ ɛ1 n
reng	 ʐ ɛ1 ŋ
reo	 ʐ eo1
ri	 ʂ i1
ri	 ʐ i1
ria	 ʐ iə1
rim	 ʐ i1 m
rinh	 ʐ i1 ɲ
riêng	 ʐ iə1 ŋ
riếc	 ʐ iə5 k
riết	 ʐ iə5 t
riếu	 ʐ iə5 w
ro	 ʐ ɔ1
roi	 ʐ ɔ1 j
rom	 ʐ ɔ1 m
rong	 ʐ ɔ1 ŋ͡m
ru	 ʐ u1
rua	 ʐ uə1
rum	 ʐ u1 m
run	 ʐ u1 n
rung	 ʐ u1 ŋ͡m
ruồi	 ʐ uə2 j
ruồng	 ʐ uə2 ŋ
ruổi	 ʐ uə4 j
ruộng	 ʐ uə6 ŋ
ruột	 ʐ uə6 t
ry	 ʐ i1
rà	 ʐ a2
ràn	 ʐ a2 n
ràng	 ʐ a2 ŋ
rành	 ʐ ɛ2 ɲ
rào	 ʐ a2 w
rày	 ʐ ă2 j
rá	 ʐ a5
rác	 ʐ a5 k
rách	 ʐ a5 tʃ
rán	 ʐ a5 n
ráng	 ʐ a5 ŋ
ráo	 ʐ a5 w
ráp	 ʐ a5 p
rát	 ʐ a5 t
râm	 ʐ ɤ̆1 m
râu	 ʐ ɤ̆1 w
rã	 ʐ a3
rãi	 ʐ a3 j
rãnh	 ʐ ɛ3 ɲ
rè	 ʐ ɛ2
rèm	 ʐ ɛ2 m
rèn	 ʐ ɛ2 n
réc	 ʐ ɛ5 k
rén	 ʐ ɛ5 n
réo	 ʐ eo5
rép	 ʐ ɛ5 p
rét	 ʐ ɛ5 t
rê	 ʐ e1
rên	 ʐ e1 n
rêu	 ʐ ɛu1
rì	 ʐ i2
rìa	 ʐ iə2
rình	 ʐ i2 ɲ
rìu	 ʐ i2 w
ríc	 ʐ i5 k
rích	 ʐ i5 tʃ
ríp	 ʐ i5 p
rít	 ʐ i5 t
ríu	 ʐ i5 w
ròng	 ʐ ɔ2 ŋ͡m
róc	 ʐ ɔ5 k͡p
rón	 ʐ ɔ5 n
rót	 ʐ ɔ5 t
rô	 ʐ o1
rôm	 ʐ o1 m
rôn	 ʐ o1 n
rông	 ʐ o1 ŋ͡m
rõ	 ʐ ɔ3
rùng	 ʐ u2 ŋ͡m
rú	 ʐ u5
rúc	 ʐ u5 k͡p
rúng	 ʐ u5 ŋ͡m
rúp	 ʐ u5 p
rút	 ʐ u5 t
răm	 ʐ ă1 m
răn	 ʐ ă1 n
răng	 ʐ ă1 ŋ
rĩ	 ʐ i3
rũ	 ʐ u3
rơ	 ʐ ɤ1
rơi	 ʐ ɤ1 j
rơm	 ʐ ɤ1 m
rương	 ʐ ɯə1 ŋ
rước	 ʐ ɯə5 k
rưới	 ʐ ɯə5 j
rười	 ʐ ɯə2 j
rườm	 ʐ ɯə2 m
rường	 ʐ ɯə2 ŋ
rưởi	 ʐ ɯə4 j
rưỡi	 ʐ ɯə3 j
rượi	 ʐ ɯə6 j
rượt	 ʐ ɯə6 t
rượu	 ʐ ɯə6 w
rạ	 ʐ a6
rạc	 ʐ a6 k
rạch	 ʐ a6 tʃ
rạn	 ʐ a6 n
rạng	 ʐ a6 ŋ
rạo	 ʐ a6 w
rạp	 ʐ a6 p
rải	 ʐ a4 j
rảnh	 ʐ ɛ4 ɲ
rảo	 ʐ a4 w
rảy	 ʐ ă4 j
rất	 ʐ ɤ̆5 t
rầm	 ʐ ɤ̆2 m
rầu	 ʐ ɤ̆2 w
rầy	 ʐ ɤ̆2 j
rẩy	 ʐ ɤ̆4 j
rẫy	 ʐ ɤ̆3 j
rậm	 ʐ ɤ̆6 m
rận	 ʐ ɤ̆6 n
rập	 ʐ ɤ̆6 p
rắc	 ʐ ă5 k
rắm	 ʐ ă5 m
rắn	 ʐ ă5 n
rắp	 ʐ ă5 p
rắt	 ʐ ă5 t
rằm	 ʐ ă2 m
rằng	 ʐ ă2 ŋ
rặc	 ʐ ă6 k
rặng	 ʐ ă6 ŋ
rẻ	 ʐ ɛ4
rẽ	 ʐ ɛ3
rến	 ʐ e5 n
rếp	 ʐ e5 p
rết	 ʐ e5 t
rền	 ʐ e2 n
rể	 ʐ e4
rễ	 ʐ e3
rệt	 ʐ e6 t
rỉ	 ʐ i4
rỉa	 ʐ iə4
rịt	 ʐ i6 t
rọc	 ʐ ɔ6 k͡p
rọi	 ʐ ɔ6 j
rốc	 ʐ o5 k͡p
rối	 ʐ o5 j
rốn	 ʐ o5 n
rống	 ʐ o5 ŋ͡m
rốp	 ʐ o5 p
rốt	 ʐ o5 t
rồ	 ʐ o2
rồi	 ʐ o2 j
rồng	 ʐ o2 ŋ͡m
rổ	 ʐ o4
rỗi	 ʐ o3 j
rỗng	 ʐ o3 ŋ͡m
rộ	 ʐ o6
rộn	 ʐ o6 n
rộng	 ʐ o6 ŋ͡m
rớt	 ʐ ɤ5 t
rờ	 ʐ ɤ2
rời	 ʐ ɤ2 j
rởn	 ʐ ɤ4 n
rỡ	 ʐ ɤ3
rợn	 ʐ ɤ6 n
rợp	 ʐ ɤ6 p
rục	 ʐ u6 k͡p
rụi	 ʐ u6 j
rụng	 ʐ u6 ŋ͡m
rụt	 ʐ u6 t
rủ	 ʐ u4
rủa	 ʐ uə4
rủi	 ʐ u4 j
rủn	 ʐ u4 n
rứt	 ʐ ɯ5 t
rừng	 ʐ ɯ2 ŋ
rửa	 ʐ ɯə4
rữa	 ʐ ɯə3
rực	 ʐ ɯ6 k
sa	 ʂ a1
sai	 ʂ a1 j
sam	 ʂ a1 m
san	 ʂ a1 n
sang	 ʂ a1 ŋ
sanh	 ʂ ɛ1 ɲ
sao	 ʂ a1 w
sau	 ʂ ă1 w
say	 ʂ ă1 j
se	 ʂ ɛ1
sem	 ʂ ɛ1 m
sen	 ʂ ɛ1 n
si	 ʂ i1
sia	 ʂ iə1
sim	 ʂ i1 m
sin	 ʂ i1 n
sinh	 ʂ i1 ɲ
siêng	 ʂ iə1 ŋ
siêu	 ʂ iə1 w
siếc	 ʂ iə5 k
siếp	 ʂ iə5 p
siết	 ʂ iə5 t
so	 ʂ ɔ1
soa	 ʂw ʷa1
soi	 ʂ ɔ1 j
son	 ʂ ɔ1 n
song	 ʂ ɔ1 ŋ͡m
soát	 ʂw ʷa5 t
soạn	 ʂw ʷa6 n
soạng	 ʂw ʷa6 ŋ
su	 ʂ u1
sua	 ʂ uə1
sui	 ʂ u1 j
sum	 ʂ u1 m
sun	 ʂ u1 n
sung	 ʂ u1 ŋ͡m
suy	 ʂw ʷi1
suê	 ʂw ʷe1
suông	 ʂ uə1 ŋ
suýt	 ʂw ʷi5 t
suất	 ʂw ʷɤ̆5 t
suối	 ʂ uə5 j
suốt	 ʂ uə5 t
sy	 ʂ i1
sà	 ʂ a2
sài	 ʂ a2 j
sàn	 ʂ a2 n
sàng	 ʂ a2 ŋ
sành	 ʂ ɛ2 ɲ
sào	 ʂ a2 w
sá	 ʂ a5
sác	 ʂ a5 k
sách	 ʂ a5 tʃ
sáng	 ʂ a5 ŋ
sánh	 ʂ ɛ5 ɲ
sáo	 ʂ a5 w
sáp	 ʂ a5 p
sát	 ʂ a5 t
sáu	 ʂ ă5 w
sân	 ʂ ɤ̆1 n
sâu	 ʂ ɤ̆1 w
séc	 ʂ ɛ5 k
sém	 ʂ ɛ5 m
sép	 ʂ ɛ5 p
sét	 ʂ ɛ5 t
sê	 ʂ e1
sên	 ʂ e1 n
sình	 ʂ i2 ɲ
sính	 ʂ i5 ɲ
síp	 ʂ i5 p
sít	 ʂ i5 t
sòm	 ʂ ɔ2 m
sòng	 ʂ ɔ2 ŋ͡m
sóc	 ʂ ɔ5 k͡p
sói	 ʂ ɔ5 j
sóng	 ʂ ɔ5 ŋ͡m
sót	 ʂ ɔ5 t
sô	 ʂ o1
sôi	 ʂ o1 j
sôm	 ʂ o1 m
sôn	 ʂ o1 n
sông	 ʂ o1 ŋ͡m
sùi	 ʂ u2 j
sùng	 ʂ u2 ŋ͡m
súc	 ʂ u5 k͡p
súp	 ʂ u5 p
sút	 ʂ u5 t
săn	 ʂ ă1 n
sĩ	 ʂ i3
sũng	 ʂ u3 ŋ͡m
sơ	 ʂ ɤ1
sơn	 ʂ ɤ1 n
sư	 ʂ ɯ1
sưa	 ʂ ɯə1
sưng	 ʂ ɯ1 ŋ
sưu	 ʂ ɯ1 w
sương	 ʂ ɯə1 ŋ
sướng	 ʂ ɯə5 ŋ
sườn	 ʂ ɯə2 n
sưởi	 ʂ ɯə4 j
sượt	 ʂ ɯə6 t
sạch	 ʂ a6 tʃ
sạm	 ʂ a6 m
sạo	 ʂ a6 w
sạt	 ʂ a6 t
sả	 ʂ a4
sải	 ʂ a4 j
sản	 ʂ a4 n
sảng	 ʂ a4 ŋ
sảnh	 ʂ ɛ4 ɲ
sảo	 ʂ a4 w
sảy	 ʂ ă4 j
sấm	 ʂ ɤ̆5 m
sấn	 ʂ ɤ̆5 n
sấp	 ʂ ɤ̆5 p
sầm	 ʂ ɤ̆2 m
sầu	 ʂ ɤ̆2 w
sẩy	 ʂ ɤ̆4 j
sẫm	 ʂ ɤ̆3 m
sậm	 ʂ ɤ̆6 m
sập	 ʂ ɤ̆6 p
sậy	 ʂ ɤ̆6 j
sắc	 ʂ ă5 k
sắm	 ʂ ă5 m
sắng	 ʂ ă5 ŋ
sắp	 ʂ ă5 p
sắt	 ʂ ă5 t
sẵn	 ʂ ă3 n
sặc	 ʂ ă6 k
sẹo	 ʂ eo6
sẻ	 ʂ ɛ4
sẽ	 ʂ ɛ3
sếch	 ʂ e5 tʃ
sết	 ʂ e5 t
sếu	 ʂ ɛu5
sệt	 ʂ e6 t
sỉ	 ʂ i4
sọ	 ʂ ɔ6
sọc	 ʂ ɔ6 k͡p
sỏi	 ʂ ɔ4 j
số	 ʂ o5
sống	 ʂ o5 ŋ͡m
sốt	 ʂ o5 t
sồi	 ʂ o2 j
sổ	 ʂ o4
sỗ	 ʂ o3
sộ	 ʂ o6
sớ	 ʂ ɤ5
sớm	 ʂ ɤ5 m
sớt	 ʂ ɤ5 t
sờ	 ʂ ɤ2
sờn	 ʂ ɤ2 n
sở	 ʂ ɤ4
sỡ	 ʂ ɤ3
sợ	 ʂ ɤ6
sợi	 ʂ ɤ6 j
sục	 ʂ u6 k͡p
sụm	 ʂ u6 m
sụp	 ʂ u6 p
sụt	 ʂ u6 t
sủa	 ʂ uə4
sủi	 ʂ u4 j
sủng	 ʂ u4 ŋ͡m
sứ	 ʂ ɯ5
sức	 ʂ ɯ5 k
sứt	 ʂ ɯ5 t
sừng	 ʂ ɯ2 ŋ
sử	 ʂ ɯ4
sửa	 ʂ ɯə4
sửng	 ʂ ɯ4 ŋ
sữa	 ʂ ɯə3
sững	 ʂ ɯ3 ŋ
sự	 ʂ ɯ6
sực	 ʂ ɯ6 k
ta	 t a1
tai	 t a1 j
tam	 t a1 m
tan	 t a1 n
tang	 t a1 ŋ
tanh	 t ɛ1 ɲ
tao	 t a1 w
tay	 t ă1 j
te	 t ɛ1
tem	 t ɛ1 m
ten	 t ɛ1 n
teo	 t eo1
tha	 tʰ a1
thai	 tʰ a1 j
tham	 tʰ a1 m
than	 tʰ a1 n
thang	 tʰ a1 ŋ
thanh	 tʰ ɛ1 ɲ
thao	 tʰ a1 w
thay	 tʰ ă1 j
the	 tʰ ɛ1
them	 tʰ ɛ1 m
then	 tʰ ɛ1 n
theo	 tʰ eo1
thi	 tʰ i1
thia	 tʰ iə1
thim	 tʰ i1 m
thin	 tʰ i1 n
thinh	 tʰ i1 ɲ
thiên	 tʰ iə1 n
thiêng	 tʰ iə1 ŋ
thiêu	 tʰ iə1 w
thiếc	 tʰ iə5 k
thiến	 tʰ iə5 n
thiếp	 tʰ iə5 p
thiết	 tʰ iə5 t
thiếu	 tʰ iə5 w
thiểu	 tʰ iə4 w
thiện	 tʰ iə6 n
thiệp	 tʰ iə6 p
thiệt	 tʰ iə6 t
thiệu	 tʰ iə6 w
thoa	 tʰw ʷa1
thoi	 tʰ ɔ1 j
thom	 tʰ ɔ1 m
thon	 tʰ ɔ1 n
thong	 tʰ ɔ1 ŋ͡m
thoái	 tʰw a5 j
thoáng	 tʰw ʷa5 ŋ
thoát	 tʰw ʷa5 t
thoăn	 tʰw ʷă1 n
thoại	 tʰw a6 j
