ai	 a1 j
chẽ	 c ɛ3
chế	 c e5
chếc	 c e5 k
chết	 c e5 t
chề	 c e2
chểnh	 c e4 ɲ
chễm	 c e3 m
chệ	 c e6
chệch	 c e6 tʃ
chỉ	 c i4
chỉnh	 c i4 ɲ
chị	 c i6
chịt	 c i6 t
chịu	 c i6 w
chọc	 c ɔ6 k͡p
chọn	 c ɔ6 n
chốc	 c o5 k͡p
chối	 c o5 j
chốn	 c o5 n
chống	 c o5 ŋ͡m
chốt	 c o5 t
chồi	 c o2 j
chồm	 c o2 m
chồn	 c o2 n
chồng	 c o2 ŋ͡m
chổi	 c o4 j
chỗ	 c o3
chỗi	 c o3 j
chột	 c o6 t
chớ	 c ɤ5
chớp	 c ɤ5 p
chờ	 c ɤ2
chờn	 c ɤ2 n
chở	 c ɤ4
chởm	 c ɤ4 m
chợ	 c ɤ6
chợp	 c ɤ6 p
chợt	 c ɤ6 t
chục	 c u6 k͡p
chụm	 c u6 m
chụp	 c u6 p
chủ	 c u4
chủng	 c u4 ŋ͡m
chứ	 c ɯ5
chứa	 c ɯə5
chức	 c ɯ5 k
chứng	 c ɯ5 ŋ
chừ	 c ɯ2
chừa	 c ɯə2
chừng	 c ɯ2 ŋ
chửa	 c ɯə4
chửi	 c ɯ4 j
chửng	 c ɯ4 ŋ
chữ	 c ɯ3
chữa	 c ɯə3
chực	 c ɯ6 k
co	 k ɔ1
coi	 k ɔ1 j
com	 k ɔ1 m
con	 k ɔ1 n
cong	 k ɔ1 ŋ͡m
cu	 k u1
cua	 k uə1
cui	 k u1 j
cum	 k u1 m
cun	 k u1 n
cung	 k u1 ŋ͡m
cuốc	 k uə5 k
cuối	 k uə5 j
cuốn	 k uə5 n
cuống	 k uə5 ŋ
cuồn	 k uə2 n
cuồng	 k uə2 ŋ
cuộc	 k uə6 k
cuội	 k uə6 j
cuộn	 k uə6 n
cà	 k a2
cài	 k a2 j
càn	 k a2 n
càng	 k a2 ŋ
cành	 k ɛ2 ɲ
cào	 k a2 w
càu	 k ă2 w
cày	 k ă2 j
cá	 k a5
các	 k a5 k
cách	 k a5 tʃ
cái	 k a5 j
cám	 k a5 m
cán	 k a5 n
cáng	 k a5 ŋ
cánh	 k ɛ5 ɲ
cáo	 k a5 w
cáp	 k a5 p
cát	 k a5 t
cáu	 k ă5 w
câm	 k ɤ̆1 m
cân	 k ɤ̆1 n
câu	 k ɤ̆1 w
cây	 k ɤ̆1 j
cãi	 k a3 j
cò	 k ɔ2
còi	 k ɔ2 j
còm	 k ɔ2 m
còn	 k ɔ2 n
còng	 k ɔ2 ŋ͡m
có	 k ɔ5
cóc	 k ɔ5 k͡p
cói	 k ɔ5 j
cô	 k o1
côi	 k o1 j
côm	 k o1 m
côn	 k o1 n
công	 k o1 ŋ͡m
cõi	 k ɔ3 j
cõng	 k ɔ3 ŋ͡m
cù	 k u2
cùi	 k u2 j
cùm	 k u2 m
cùn	 k u2 n
cùng	 k u2 ŋ͡m
cú	 k u5
cúc	 k u5 k͡p
cúi	 k u5 j
cúng	 k u5 ŋ͡m
cúp	 k u5 p
cút	 k u5 t
căm	 k ă1 m
căn	 k ă1 n
căng	 k ă1 ŋ
cũ	 k u3
cũi	 k u3 j
cũng	 k u3 ŋ͡m
cơ	 k ɤ1
cơm	 k ɤ1 m
cơn	 k ɤ1 n
cư	 k ɯ1
cưa	 k ɯə1
cưng	 k ɯ1 ŋ
cưu	 k ɯ1 w
cương	 k ɯə1 ŋ
cưới	 k ɯə5 j
cướp	 k ɯə5 p
cười	 k ɯə2 j
cường	 k ɯə2 ŋ
cưỡi	 k ɯə3 j
cưỡng	 k ɯə3 ŋ
cạm	 k a6 m
cạn	 k a6 n
cạnh	 k ɛ6 ɲ
cạo	 k a6 w
cạp	 k a6 p
cạt	 k a6 t
cạy	 k ă6 j
cả	 k a4
cải	 k a4 j
cảm	 k a4 m
cản	 k a4 n
cảng	 k a4 ŋ
cảnh	 k ɛ4 ɲ
cấm	 k ɤ̆5 m
cấn	 k ɤ̆5 n
cấp	 k ɤ̆5 p
cất	 k ɤ̆5 t
cấu	 k ɤ̆5 w
cấy	 k ɤ̆5 j
cầm	 k ɤ̆2 m
cần	 k ɤ̆2 n
cầu	 k ɤ̆2 w
cẩm	 k ɤ̆4 m
cẩn	 k ɤ̆4 n
cẩu	 k ɤ̆4 w
cận	 k ɤ̆6 n
cập	 k ɤ̆6 p
cật	 k ɤ̆6 t
cậu	 k ɤ̆6 w
cậy	 k ɤ̆6 j
cắc	 k ă5 k
cắm	 k ă5 m
cắn	 k ă5 n
cắp	 k ă5 p
cắt	 k ă5 t
cằm	 k ă2 m
cằn	 k ă2 n
cặm	 k ă6 m
cặn	 k ă6 n
cặp	 k ă6 p
cọ	 k ɔ6
cọc	 k ɔ6 k͡p
cọng	 k ɔ6 ŋ͡m
cọp	 k ɔ6 p
cọt	 k ɔ6 t
cỏ	 k ɔ4
cỏi	 k ɔ4 j
cố	 k o5
cốc	 k o5 k͡p
cối	 k o5 j
cống	 k o5 ŋ͡m
cốp	 k o5 p
cốt	 k o5 t
cồn	 k o2 n
cồng	 k o2 ŋ͡m
cổ	 k o4
cổng	 k o4 ŋ͡m
cỗ	 k o3
cỗi	 k o3 j
cộ	 k o6
cộc	 k o6 k͡p
cội	 k o6 j
cộm	 k o6 m
cộng	 k o6 ŋ͡m
cột	 k o6 t
cớ	 k ɤ5
cờ	 k ɤ2
cởi	 k ɤ4 j
cỡ	 k ɤ3
cỡi	 k ɤ3 j
cỡn	 k ɤ3 n
cợt	 k ɤ6 t
cụ	 k u6
cục	 k u6 k͡p
cụi	 k u6 j
cụm	 k u6 m
cụt	 k u6 t
củ	 k u4
của	 k uə4
củi	 k u4 j
củng	 k u4 ŋ͡m
cứ	 k ɯ5
cứng	 k ɯ5 ŋ
cứu	 k ɯ5 w
cừu	 k ɯ2 w
cử	 k ɯ4
cửa	 k ɯə4
cửi	 k ɯ4 j
cửu	 k ɯ4 w
cữ	 k ɯ3
cữu	 k ɯ3 w
cự	 k ɯ6
cựa	 k ɯə6
cực	 k ɯ6 k
cựu	 k ɯ6 w
da	 z a1
dai	 z a1 j
dan	 z a1 n
dang	 z a1 ŋ
danh	 z ɛ1 ɲ
dao	 z a1 w
di	 z i1
dim	 z i1 m
dinh	 z i1 ɲ
diêm	 z iə1 m
diếm	 z iə5 m
diều	 z iə2 w
diễm	 z iə3 m
diễn	 z iə3 n
diễu	 z iə3 w
diệc	 z iə6 k
diện	 z iə6 n
diệt	 z iə6 t
diệu	 z iə6 w
do	 z ɔ1
doanh	 zw ʷa1 ɲ
dong	 z ɔ1 ŋ͡m
du	 z u1
dua	 z uə1
dum	 z u1 m
dung	 z u1 ŋ͡m
duy	 zw ʷi1
duyên	 zw ʷiə1 n
duyệt	 zw ʷiə6 t
duệ	 zw ʷe6
duỗi	 z uə3 j
dài	 z a2 j
dàn	 z a2 n
dàng	 z a2 ŋ
dành	 z ɛ2 ɲ
dào	 z a2 w
dày	 z ă2 j
dám	 z a5 m
dán	 z a5 n
dáng	 z a5 ŋ
dát	 z a5 t
dáy	 z ă5 j
dâm	 z ɤ̆1 m
dân	 z ɤ̆1 n
dâng	 z ɤ̆1 ŋ
dâu	 z ɤ̆1 w
dây	 z ɤ̆1 j
dã	 z a3
dãi	 z a3 j
dãy	 z ă3 j
dè	 z ɛ2
dép	 z ɛ5 p
dê	 z e1
dì	 z i2
dìm	 z i2 m
dìu	 z i2 w
dích	 z i5 tʃ
dính	 z i5 ɲ
díp	 z i5 p
dít	 z i5 t
díu	 z i5 w
dò	 z ɔ2
dòi	 z ɔ2 j
dòm	 z ɔ2 m
dòn	 z ɔ2 n
dòng	 z ɔ2 ŋ͡m
dông	 z o1 ŋ͡m
dõi	 z ɔ3 j
dõng	 z ɔ3 ŋ͡m
dù	 z u2
dùi	 z u2 j
dùm	 z u2 m
dùng	 z u2 ŋ͡m
dĩ	 z i3
dĩa	 z iə3
dũng	 z u3 ŋ͡m
dơ	 z ɤ1
dơi	 z ɤ1 j
dư	 z ɯ1
dưa	 z ɯə1
dưng	 z ɯ1 ŋ
dương	 z ɯə1 ŋ
dưới	 z ɯə5 j
dường	 z ɯə2 ŋ
dưỡng	 z ɯə3 ŋ
dược	 z ɯə6 k
dạ	 z a6
dạc	 z a6 k
dại	 z a6 j
dạn	 z a6 n
dạng	 z a6 ŋ
dạo	 z a6 w
dạt	 z a6 t
dạy	 z ă6 j
dả	 z a4
dải	 z a4 j
dấm	 z ɤ̆5 m
dấn	 z ɤ̆5 n
dấp	 z ɤ̆5 p
dấu	 z ɤ̆5 w
dấy	 z ɤ̆5 j
dầm	 z ɤ̆2 m
dần	 z ɤ̆2 n
dầu	 z ɤ̆2 w
dẫm	 z ɤ̆3 m
dẫn	 z ɤ̆3 n
dẫu	 z ɤ̆3 w
dẫy	 z ɤ̆3 j
dậm	 z ɤ̆6 m
dập	 z ɤ̆6 p
dật	 z ɤ̆6 t
dậu	 z ɤ̆6 w
dậy	 z ɤ̆6 j
dắt	 z ă5 t
dằm	 z ă2 m
dằn	 z ă2 n
dẳng	 z ă4 ŋ
dặm	 z ă6 m
dặn	 z ă6 n
dặt	 z ă6 t
dẹp	 z ɛ6 p
dẻ	 z ɛ4
dẻo	 z eo4
dế	 z e5
dề	 z e2
dể	 z e4
dễ	 z e3
dệt	 z e6 t
dị	 z i6
dịch	 z i6 tʃ
dịp	 z i6 p
dịu	 z i6 w
dọ	 z ɔ6
dọa	 zw ʷa6
dọc	 z ɔ6 k͡p
dọi	 z ɔ6 j
dọn	 z ɔ6 n
dốc	 z o5 k͡p
dối	 z o5 j
dốt	 z o5 t
dồi	 z o2 j
dồn	 z o2 n
dỗ	 z o3
dỗi	 z o3 j
dội	 z o6 j
dộp	 z o6 p
dột	 z o6 t
dớt	 z ɤ5 t
dời	 z ɤ2 j
dở	 z ɤ4
dỡ	 z ɤ3
dụ	 z u6
dục	 z u6 k͡p
dụm	 z u6 m
dụng	 z u6 ŋ͡m
dứt	 z ɯ5 t
dừa	 z ɯə2
dừng	 z ɯ2 ŋ
dửng	 z ɯ4 ŋ
dữ	 z ɯ3
dự	 z ɯ6
dựa	 z ɯə6
dựng	 z ɯ6 ŋ
em	 ɛ1 m
en	 ɛ1 n
ga	 ɣ a1
gai	 ɣ a1 j
gam	 ɣ a1 m
gan	 ɣ a1 n
gang	 ɣ a1 ŋ
ganh	 ɣ ɛ1 ɲ
gao	 ɣ a1 w
gay	 ɣ ă1 j
ghem	 ɣ ɛ1 m
ghen	 ɣ ɛ1 n
ghi	 ɣ i1
ghim	 ɣ i1 m
ghinh	 ɣ i1 ɲ
ghiếc	 ɣ iə5 k
ghiết	 ɣ iə5 t
ghiệt	 ɣ iə6 t
ghé	 ɣ ɛ5
ghép	 ɣ ɛ5 p
ghét	 ɣ ɛ5 t
ghê	 ɣ e1
ghên	 ɣ e1 n
ghì	 ɣ i2
ghít	 ɣ i5 t
ghẹt	 ɣ ɛ6 t
ghẻ	 ɣ ɛ4
ghế	 ɣ e5
ghết	 ɣ e5 t
ghề	 ɣ e2
ghềnh	 ɣ e2 ɲ
ghồ	 ɣ o2
gi	 z i1
gia	 j a1
giai	 j a1 j
giam	 j a1 m
gian	 j a1 n
giang	 j a1 ŋ
giao	 j a1 w
gie	 j ɛ1
gieo	 j eo1
gim	 z i1 m
giong	 j ɔ1 ŋ͡m
giu	 j u1
giun	 j u1 n
già	 j a2
giàn	 j a2 n
giành	 j ɛ2 ɲ
giàu	 j ă2 w
giày	 j ă2 j
giá	 j a5
giác	 j a5 k
giám	 j a5 m
gián	 j a5 n
giáng	 j a5 ŋ
giáo	 j a5 w
giáp	 j a5 p
giát	 j a5 t
giây	 j ɤ̆1 j
giã	 j a3
giãi	 j a3 j
gièm	 j ɛ2 m
gié	 j ɛ5
giép	 j ɛ5 p
giê	 j e1
giêm	 j e1 m
giêng	 j e1 ŋ
giò	 j ɔ2
giòi	 j ɔ2 j
giòn	 j ɔ2 n
gió	 j ɔ5
gióng	 j ɔ5 ŋ͡m
gióp	 j ɔ5 p
giô	 j o1
giôn	 j o1 n
giông	 j o1 ŋ͡m
giùm	 j u2 m
giúc	 j u5 k͡p
giúp	 j u5 p
giút	 j u5 t
giăng	 j ă1 ŋ
giũ	 j u3
giũa	 j uə3
giơ	 j ɤ1
giương	 j ɯə1 ŋ
giường	 j ɯə2 ŋ
giạ	 j a6
giạt	 j a6 t
giả	 j a4
giải	 j a4 j
giảm	 j a4 m
giản	 j a4 n
giảng	 j a4 ŋ
giấc	 j ɤ̆5 k
giấm	 j ɤ̆5 m
giấu	 j ɤ̆5 w
giấy	 j ɤ̆5 j
giẫm	 j ɤ̆3 m
giẫy	 j ɤ̆3 j
giậm	 j ɤ̆6 m
giận	 j ɤ̆6 n
giập	 j ɤ̆6 p
giật	 j ɤ̆6 t
giậu	 j ɤ̆6 w
giắc	 j ă5 k
giằng	 j ă2 ŋ
giặc	 j ă6 k
giặt	 j ă6 t
giẹo	 j eo6
giẻ	 j ɛ4
giếm	 j e5 m
giếng	 j e5 ŋ
giết	 j e5 t
giềng	 j e2 ŋ
giễu	 j ɛu3
giệt	 j e6 t
giọi	 j ɔ6 j
giọng	 j ɔ6 ŋ͡m
giọt	 j ɔ6 t
giỏ	 j ɔ4
giỏi	 j ɔ4 j
giốc	 j o5 k͡p
giống	 j o5 ŋ͡m
giốp	 j o5 p
giốt	 j o5 t
giới	 j ɤ5 j
giờ	 j ɤ2
giở	 j ɤ4
giỡn	 j ɤ3 n
giục	 j u6 k͡p
giữ	 j ɯ3
giữa	 j ɯə3
giựt	 j ɯ6 t
go	 ɣ ɔ1
gom	 ɣ ɔ1 m
goá	 ɣw ʷa5
gu	 ɣ u1
gua	 ɣ uə1
guồng	 ɣ uə2 ŋ
guộc	 ɣ uə6 k
gà	 ɣ a2
gài	 ɣ a2 j
gàng	 ɣ a2 ŋ
gành	 ɣ ɛ2 ɲ
gào	 ɣ a2 w
gàu	 ɣ ă2 w
gác	 ɣ a5 k
gái	 ɣ a5 j
gán	 ɣ a5 n
gánh	 ɣ ɛ5 ɲ
gáp	 ɣ a5 p
gát	 ɣ a5 t
gáy	 ɣ ă5 j
gân	 ɣ ɤ̆1 n
gây	 ɣ ɤ̆1 j
gã	 ɣ a3
gãi	 ɣ a3 j
gãy	 ɣ ă3 j
gì	 ɣ i2
gìn	 z i2 n
gíp	 z i5 p
gít	 z i5 t
gò	 ɣ ɔ2
góa	 ɣw ʷa5
góc	 ɣ ɔ5 k͡p
gói	 ɣ ɔ5 j
góp	 ɣ ɔ5 p
gót	 ɣ ɔ5 t
gô	 ɣ o1
gôn	 ɣ o1 n
gông	 ɣ o1 ŋ͡m
gõ	 ɣ ɔ3
gù	 ɣ u2
gúp	 ɣ u5 p
gút	 ɣ u5 t
găm	 ɣ ă1 m
gũi	 ɣ u3 j
gơ	 ɣ ɤ1
gươm	 ɣ ɯə1 m
gương	 ɣ ɯə1 ŋ
gượng	 ɣ ɯə6 ŋ
gạ	 ɣ a6
gạc	 ɣ a6 k
gạch	 ɣ a6 tʃ
gạn	 ɣ a6 n
gạo	 ɣ a6 w
gạt	 ɣ a6 t
gả	 ɣ a4
gảy	 ɣ ă4 j
gấm	 ɣ ɤ̆5 m
gấp	 ɣ ɤ̆5 p
gấu	 ɣ ɤ̆5 w
gầm	 ɣ ɤ̆2 m
gần	 ɣ ɤ̆2 n
gầu	 ɣ ɤ̆2 w
gầy	 ɣ ɤ̆2 j
gẩy	 ɣ ɤ̆4 j
gẫm	 ɣ ɤ̆3 m
gẫy	 ɣ ɤ̆3 j
gập	 ɣ ɤ̆6 p
gật	 ɣ ɤ̆6 t
gậy	 ɣ ɤ̆6 j
gắm	 ɣ ă5 m
gắn	 ɣ ă5 n
gắng	 ɣ ă5 ŋ
gắp	 ɣ ă5 p
gắt	 ɣ ă5 t
gằm	 ɣ ă2 m
gặm	 ɣ ă6 m
gặp	 ɣ ă6 p
gặt	 ɣ ă6 t
gỉ	 ɣ i4
gọi	 ɣ ɔ6 j
gọn	 ɣ ɔ6 n
gọt	 ɣ ɔ6 t
gốc	 ɣ o5 k͡p
gối	 ɣ o5 j
gốm	 ɣ o5 m
gốp	 ɣ o5 p
gồ	 ɣ o2
gồm	 ɣ o2 m
gổ	 ɣ o4
gỗ	 ɣ o3
gộc	 ɣ o6 k͡p
gội	 ɣ o6 j
gộp	 ɣ o6 p
gớm	 ɣ ɤ5 m
gờ	 ɣ ɤ2
gở	 ɣ ɤ4
gỡ	 ɣ ɤ3
gợi	 ɣ ɤ6 j
gợn	 ɣ ɤ6 n
gục	 ɣ u6 k͡p
gừ	 ɣ ɯ2
gửi	 ɣ ɯ4 j
ha	 h a1
hai	 h a1 j
ham	 h a1 m
han	 h a1 n
hang	 h a1 ŋ
hanh	 h ɛ1 ɲ
hao	 h a1 w
hau	 h ă1 w
hay	 h ă1 j
he	 h ɛ1
hem	 h ɛ1 m
heo	 h eo1
hi	 h i1
hia	 h iə1
him	 h i1 m
hin	 h i1 n
hinh	 h i1 ɲ
hiu	 h i1 w
hiên	 h iə1 n
hiếm	 h iə5 m
hiến	 h iə5 n
hiếp	 h iə5 p
hiếu	 h iə5 w
hiềm	 h iə2 m
hiền	 h iə2 n
hiểm	 h iə4 m
hiển	 h iə4 n
hiểu	 h iə4 w
hiện	 h iə6 n
hiệp	 h iə6 p
hiệu	 h iə6 w
ho	 h ɔ1
hoa	 hw ʷa1
hoan	 hw ʷa1 n
hoang	 hw ʷa1 ŋ
hoen	 hw ʷɛ1 n
hoi	 h ɔ1 j
hon	 h ɔ1 n
hoà	 hw ʷa2
hoài	 hw a2 j
hoàn	 hw ʷa2 n
