a	a1
lợi	l ɤ6 j
lơn	l ɤ1 n
lờn	l ɤ2 n
lởn	l ɤ4 n
lớn	l ɤ5 n
lợn	l ɤ6 n
lớp	l ɤ5 p
lợp	l ɤ6 p
lớt	l ɤ5 t
lu	l u1
lù	l u2
lũ	l u3
lú	l u5
lụ	l u6
lùa	l uə2
lúa	l uə5
lụa	l uə6
luân	lw ʷɤ̆1 n
luẩn	lw ʷɤ̆4 n
luận	lw ʷɤ̆6 n
luật	lw ʷɤ̆6 t
lúc	l u5 k͡p
lục	l u6 k͡p
lui	l u1 j
lùi	l u2 j
lủi	l u4 j
lũi	l u3 j
lúi	l u5 j
lum	l u1 m
lùm	l u2 m
lủm	l u4 m
lúm	l u5 m
lùn	l u2 n
lún	l u5 n
lung	l u1 ŋ͡m
lùng	l u2 ŋ͡m
lủng	l u4 ŋ͡m
lũng	l u3 ŋ͡m
lúng	l u5 ŋ͡m
lụng	l u6 ŋ͡m
luốc	l uə5 k
luộc	l uə6 k
luộm	l uə6 m
luôn	l uə1 n
luồn	l uə2 n
luồng	l uə2 ŋ
luống	l uə5 ŋ
lụp	l u6 p
lút	l u5 t
lụt	l u6 t
lũy	l u3 j
lụy	l u6 j
luyến	lw ʷiə5 n
luyện	lw ʷiə6 n
lư	l ɯ1
lừ	l ɯ2
lử	l ɯ4
lữ	l ɯ3
lự	l ɯ6
lừa	l ɯə2
lửa	l ɯə4
lữa	l ɯə3
lứa	l ɯə5
lựa	l ɯə6
lức	l ɯ5 k
lực	l ɯ6 k
lưng	l ɯ1 ŋ
lừng	l ɯ2 ŋ
lửng	l ɯ4 ŋ
lững	l ɯ3 ŋ
lược	l ɯə6 k
lười	l ɯə2 j
lưỡi	l ɯə3 j
lưới	l ɯə5 j
lượm	l ɯə6 m
lươn	l ɯə1 n
lượn	l ɯə6 n
lương	l ɯə1 ŋ
lường	l ɯə2 ŋ
lưỡng	l ɯə3 ŋ
lượng	l ɯə6 ŋ
lướt	l ɯə5 t
lượt	l ɯə6 t
lứt	l ɯ5 t
lưu	l ɯ1 w
lựu	l ɯ6 w
ly	l i1
lý	l i5
lỵ	l i6
ma	m a1
mà	m a2
mả	m a4
mã	m a3
má	m a5
mạ	m a6
mác	m a5 k
mạc	m a6 k
mách	m a5 tʃ
mạch	m a6 tʃ
mai	m a1 j
mài	m a2 j
mải	m a4 j
mãi	m a3 j
mái	m a5 j
mại	m a6 j
man	m a1 n
màn	m a2 n
mãn	m a3 n
mán	m a5 n
mạn	m a6 n
mang	m a1 ŋ
màng	m a2 ŋ
mảng	m a4 ŋ
mãng	m a3 ŋ
máng	m a5 ŋ
mạng	m a6 ŋ
manh	m ɛ1 ɲ
mành	m ɛ2 ɲ
mảnh	m ɛ4 ɲ
mãnh	m ɛ3 ɲ
mánh	m ɛ5 ɲ
mạnh	m ɛ6 ɲ
mao	m a1 w
mào	m a2 w
mão	m a3 w
máo	m a5 w
mạo	m a6 w
mạp	m a6 p
mát	m a5 t
mạt	m a6 t
mau	m ă1 w
màu	m ă2 w
máu	m ă5 w
may	m ă1 j
mày	m ă2 j
máy	m ă5 j
mạy	m ă6 j
mắc	m ă5 k
mặc	m ă6 k
măm	m ă1 m
mắm	m ă5 m
mẳn	m ă4 n
mắn	m ă5 n
mặn	m ă6 n
măng	m ă1 ŋ
mắng	m ă5 ŋ
mắt	m ă5 t
mặt	m ă6 t
mâm	m ɤ̆1 m
mầm	m ɤ̆2 m
mẩm	m ɤ̆4 m
mẫm	m ɤ̆3 m
mân	m ɤ̆1 n
mần	m ɤ̆2 n
mẩn	m ɤ̆4 n
mẫn	m ɤ̆3 n
mấn	m ɤ̆5 n
mận	m ɤ̆6 n
mấp	m ɤ̆5 p
mập	m ɤ̆6 p
mất	m ɤ̆5 t
mật	m ɤ̆6 t
mâu	m ɤ̆1 w
mầu	m ɤ̆2 w
mẩu	m ɤ̆4 w
mẫu	m ɤ̆3 w
mấu	m ɤ̆5 w
mậu	m ɤ̆6 w
mây	m ɤ̆1 j
mẩy	m ɤ̆4 j
mấy	m ɤ̆5 j
me	m ɛ1
mè	m ɛ2
mẻ	m ɛ4
mẽ	m ɛ3
mé	m ɛ5
mẹ	m ɛ6
mèm	m ɛ2 m
men	m ɛ1 n
mèn	m ɛ2 n
mén	m ɛ5 n
meo	m eo1
mèo	m eo2
méo	m eo5
mẹo	m eo6
mép	m ɛ5 p
mét	m ɛ5 t
mẹt	m ɛ6 t
mê	m e1
mề	m e2
mế	m e5
mệ	m e6
mếch	m e5 tʃ
mềm	m e2 m
mền	m e2 n
mến	m e5 n
mênh	m e1 ɲ
mệnh	m e6 ɲ
mệt	m e6 t
mếu	m ɛu5
mi	m i1
mì	m i2
mỉ	m i4
mĩ	m i3
mí	m i5
mị	m i6
mỉa	m iə4
mía	m iə5
mích	m i5 tʃ
mịch	m i6 tʃ
miên	m iə1 n
miền	m iə2 n
miễn	m iə3 n
miến	m iə5 n
miện	m iə6 n
miếng	m iə5 ŋ
miệng	m iə6 ŋ
miết	m iə5 t
miệt	m iə6 t
miêu	m iə1 w
miều	m iə2 w
miễu	m iə3 w
miếu	m iə5 w
mỉm	m i4 m
mĩm	m i3 m
mìn	m i2 n
mịn	m i6 n
minh	m i1 ɲ
mình	m i2 ɲ
mít	m i5 t
mịt	m i6 t
mo	m ɔ1
mò	m ɔ2
mỏ	m ɔ4
mõ	m ɔ3
mó	m ɔ5
mọ	m ɔ6
móc	m ɔ5 k͡p
mọc	m ɔ6 k͡p
moi	m ɔ1 j
mòi	m ɔ2 j
mỏi	m ɔ4 j
mói	m ɔ5 j
mọi	m ɔ6 j
mỏm	m ɔ4 m
mõm	m ɔ3 m
móm	m ɔ5 m
mon	m ɔ1 n
mòn	m ɔ2 n
mỏn	m ɔ4 n
món	m ɔ5 n
mọn	m ɔ6 n
mong	m ɔ1 ŋ͡m
mòng	m ɔ2 ŋ͡m
mỏng	m ɔ4 ŋ͡m
móng	m ɔ5 ŋ͡m
mọng	m ɔ6 ŋ͡m
móp	m ɔ5 p
mót	m ɔ5 t
mọt	m ɔ6 t
mô	m o1
mồ	m o2
mổ	m o4
mộ	m o6
mốc	m o5 k͡p
mộc	m o6 k͡p
môi	m o1 j
mồi	m o2 j
mỗi	m o3 j
mối	m o5 j
mồm	m o2 m
môn	m o1 n
mông	m o1 ŋ͡m
mồng	m o2 ŋ͡m
mống	m o5 ŋ͡m
mộng	m o6 ŋ͡m
mốt	m o5 t
một	m o6 t
mơ	m ɤ1
mờ	m ɤ2
mở	m ɤ4
mỡ	m ɤ3
mớ	m ɤ5
mợ	m ɤ6
mời	m ɤ2 j
mới	m ɤ5 j
mơn	m ɤ1 n
mởn	m ɤ4 n
mớp	m ɤ5 p
mu	m u1
mù	m u2
mủ	m u4
mũ	m u3
mú	m u5
mụ	m u6
mua	m uə1
mùa	m uə2
múa	m uə5
múc	m u5 k͡p
mục	m u6 k͡p
mui	m u1 j
mùi	m u2 j
mủi	m u4 j
mũi	m u3 j
múi	m u5 j
mụi	m u6 j
mũm	m u3 m
mun	m u1 n
mủn	m u4 n
mụn	m u6 n
mùng	m u2 ŋ͡m
mủng	m u4 ŋ͡m
muôi	m uə1 j
muồi	m uə2 j
muỗi	m uə3 j
muối	m uə5 j
muội	m uə6 j
muôn	m uə1 n
muốn	m uə5 n
muộn	m uə6 n
muông	m uə1 ŋ
muỗng	m uə3 ŋ
muống	m uə5 ŋ
muốt	m uə5 t
múp	m u5 p
mụp	m u6 p
mút	m u5 t
mưa	m ɯə1
mửa	m ɯə4
mức	m ɯ5 k
mực	m ɯ6 k
mưng	m ɯ1 ŋ
mừng	m ɯ2 ŋ
mươi	m ɯə1 j
mười	m ɯə2 j
mướn	m ɯə5 n
mượn	m ɯə6 n
mương	m ɯə1 ŋ
mường	m ɯə2 ŋ
mướp	m ɯə5 p
mướt	m ɯə5 t
mượt	m ɯə6 t
mứt	m ɯ5 t
mưu	m ɯ1 w
mỹ	m i3
na	n a1
nà	n a2
nả	n a4
nã	n a3
ná	n a5
nạ	n a6
nạc	n a6 k
nách	n a5 tʃ
nai	n a1 j
nài	n a2 j
nải	n a4 j
nái	n a5 j
nại	n a6 j
nam	n a1 m
nám	n a5 m
nan	n a1 n
nàn	n a2 n
nản	n a4 n
nán	n a5 n
nạn	n a6 n
nang	n a1 ŋ
nàng	n a2 ŋ
nạng	n a6 ŋ
nanh	n ɛ1 ɲ
nành	n ɛ2 ɲ
nạnh	n ɛ6 ɲ
nao	n a1 w
nào	n a2 w
não	n a3 w
náo	n a5 w
nạo	n a6 w
nạp	n a6 p
nát	n a5 t
nạt	n a6 t
náu	n ă5 w
nay	n ă1 j
này	n ă2 j
nảy	n ă4 j
nãy	n ă3 j
náy	n ă5 j
nắc	n ă5 k
nặc	n ă6 k
năm	n ă1 m
nằm	n ă2 m
nắm	n ă5 m
năn	n ă1 n
nắn	n ă5 n
nặn	n ă6 n
năng	n ă1 ŋ
nằng	n ă2 ŋ
nẳng	n ă4 ŋ
nẵng	n ă3 ŋ
nắng	n ă5 ŋ
nặng	n ă6 ŋ
nắp	n ă5 p
nấc	n ɤ̆5 k
nấm	n ɤ̆5 m
nậm	n ɤ̆6 m
nần	n ɤ̆2 n
nâng	n ɤ̆1 ŋ
nẫng	n ɤ̆3 ŋ
nấng	n ɤ̆5 ŋ
nấp	n ɤ̆5 p
nập	n ɤ̆6 p
nâu	n ɤ̆1 w
nấu	n ɤ̆5 w
nậu	n ɤ̆6 w
nây	n ɤ̆1 j
nầy	n ɤ̆2 j
nẩy	n ɤ̆4 j
nấy	n ɤ̆5 j
nè	n ɛ2
nẻ	n ɛ4
né	n ɛ5
nem	n ɛ1 m
ném	n ɛ5 m
nén	n ɛ5 n
neo	n eo1
nèo	n eo2
nẻo	n eo4
néo	n eo5
nép	n ɛ5 p
nẹp	n ɛ6 p
nét	n ɛ5 t
nê	n e1
nề	n e2
nể	n e4
nệ	n e6
nêm	n e1 m
nếm	n e5 m
nệm	n e6 m
nên	n e1 n
nền	n e2 n
nến	n e5 n
nện	n e6 n
nếp	n e5 p
nết	n e5 t
nêu	n ɛu1
nếu	n ɛu5
nga	ŋ a1
ngà	ŋ a2
ngả	ŋ a4
ngã	ŋ a3
ngạc	ŋ a6 k
ngách	ŋ a5 tʃ
ngạch	ŋ a6 tʃ
ngai	ŋ a1 j
ngài	ŋ a2 j
ngải	ŋ a4 j
ngãi	ŋ a3 j
ngại	ŋ a6 j
ngàm	ŋ a2 m
ngan	ŋ a1 n
ngàn	ŋ a2 n
ngán	ŋ a5 n
ngạn	ŋ a6 n
ngang	ŋ a1 ŋ
ngàng	ŋ a2 ŋ
ngáng	ŋ a5 ŋ
ngành	ŋ ɛ2 ɲ
ngạnh	ŋ ɛ6 ɲ
ngao	ŋ a1 w
ngào	ŋ a2 w
ngáo	ŋ a5 w
ngạo	ŋ a6 w
ngáp	ŋ a5 p
ngát	ŋ a5 t
ngạt	ŋ a6 t
ngay	ŋ ă1 j
ngày	ŋ ă2 j
ngáy	ŋ ă5 j
ngắc	ŋ ă5 k
ngắm	ŋ ă5 m
ngăn	ŋ ă1 n
ngắn	ŋ ă5 n
ngẵng	ŋ ă3 ŋ
ngắt	ŋ ă5 t
ngặt	ŋ ă6 t
ngâm	ŋ ɤ̆1 m
ngầm	ŋ ɤ̆2 m
ngẩm	ŋ ɤ̆4 m
ngẫm	ŋ ɤ̆3 m
ngấm	ŋ ɤ̆5 m
ngậm	ŋ ɤ̆6 m
ngân	ŋ ɤ̆1 n
ngần	ŋ ɤ̆2 n
ngẩn	ŋ ɤ̆4 n
ngấn	ŋ ɤ̆5 n
ngẩng	ŋ ɤ̆4 ŋ
ngập	ŋ ɤ̆6 p
ngất	ŋ ɤ̆5 t
ngầu	ŋ ɤ̆2 w
ngẫu	ŋ ɤ̆3 w
ngấu	ŋ ɤ̆5 w
ngây	ŋ ɤ̆1 j
ngấy	ŋ ɤ̆5 j
ngậy	ŋ ɤ̆6 j
nghe	ŋ ɛ1
nghè	ŋ ɛ2
nghé	ŋ ɛ5
nghẽn	ŋ ɛ3 n
nghén	ŋ ɛ5 n
nghẹn	ŋ ɛ6 n
nghèo	ŋ eo2
nghẻo	ŋ eo4
nghét	ŋ ɛ5 t
nghẹt	ŋ ɛ6 t
nghê	ŋ e1
nghề	ŋ e2
nghệ	ŋ e6
nghếch	ŋ e5 tʃ
nghệch	ŋ e6 tʃ
nghênh	ŋ e1 ɲ
nghêu	ŋ ɛu1
nghi	ŋ i1
nghỉ	ŋ i4
nghĩ	ŋ i3
nghị	ŋ i6
nghĩa	ŋ iə3
nghía	ŋ iə5
nghịch	ŋ i6 tʃ
nghiêm	ŋ iə1 m
nghiệm	ŋ iə6 m
nghiên	ŋ iə1 n
nghiền	ŋ iə2 n
nghiến	ŋ iə5 n
nghiện	ŋ iə6 n
nghiêng	ŋ iə1 ŋ
nghiệp	ŋ iə6 p
nghiệt	ŋ iə6 t
nghiêu	ŋ iə1 w
nghìn	ŋ i2 n
nghinh	ŋ i1 ɲ
nghĩnh	ŋ i3 ɲ
nghịt	ŋ i6 t
nghỉu	ŋ i4 w
nghoẹo	ŋw e6 w
ngò	ŋ ɔ2
ngỏ	ŋ ɔ4
ngõ	ŋ ɔ3
ngó	ŋ ɔ5
ngọ	ŋ ɔ6
ngoa	ŋw ʷa1
ngoác	ŋw ʷa5 k
ngoai	ŋw a1 j
ngoài	ŋw a2 j
ngoái	ŋw a5 j
ngoại	ŋw a6 j
ngoàm	ŋw ʷa2 m
ngoảm	ŋw ʷa4 m
ngoan	ŋw ʷa1 n
ngoãn	ŋw ʷa3 n
ngoạn	ŋw ʷa6 n
ngoảnh	ŋw ʷa4 ɲ
ngoay	ŋw ă1 j
ngoáy	ŋw ă5 j
ngoắc	ŋw ʷă5 k
ngoặc	ŋw ʷă6 k
ngoằn	ŋw ʷă2 n
ngoắt	ŋw ʷă5 t
ngoặt	ŋw ʷă6 t
ngóc	ŋ ɔ5 k͡p
ngọc	ŋ ɔ6 k͡p
ngoe	ŋw ʷɛ1
ngoèo	ŋw e2 w
ngoéo	ŋw e5 w
ngoi	ŋ ɔ1 j
ngòi	ŋ ɔ2 j
ngói	ŋ ɔ5 j
ngon	ŋ ɔ1 n
ngón	ŋ ɔ5 n
ngọn	ŋ ɔ6 n
ngóng	ŋ ɔ5 ŋ͡m
ngọng	ŋ ɔ6 ŋ͡m
ngót	ŋ ɔ5 t
ngọt	ŋ ɔ6 t
ngô	ŋ o1
ngổ	ŋ o4
ngỗ	ŋ o3
ngộ	ŋ o6
ngốc	ŋ o5 k͡p
ngôi	ŋ o1 j
ngồi	ŋ o2 j
ngồm	ŋ o2 m
ngổm	ŋ o4 m
ngôn	ŋ o1 n
ngồn	ŋ o2 n
ngổn	ŋ o4 n
ngộn	ŋ o6 n
ngông	ŋ o1 ŋ͡m
ngồng	ŋ o2 ŋ͡m
ngỗng	ŋ o3 ŋ͡m
ngộp	ŋ o6 p
ngột	ŋ o6 t
ngơ	ŋ ɤ1
ngờ	ŋ ɤ2
ngỡ	ŋ ɤ3
ngớ	ŋ ɤ5
ngợ	ŋ ɤ6
ngơi	ŋ ɤ1 j
ngời	ŋ ɤ2 j
ngợi	ŋ ɤ6 j
ngợm	ŋ ɤ6 m
ngớn	ŋ ɤ5 n
ngợp	ŋ ɤ6 p
ngớt	ŋ ɤ5 t
ngu	ŋ u1
ngủ	ŋ u4
ngũ	ŋ u3
ngụ	ŋ u6
ngụa	ŋ uə6
nguẩy	ŋw ɤ̆4 j
nguậy	ŋw ɤ̆6 j
ngúc	ŋ u5 k͡p
ngục	ŋ u6 k͡p
ngùi	ŋ u2 j
ngủi	ŋ u4 j
ngụm	ŋ u6 m
ngùn	ŋ u2 n
ngủn	ŋ u4 n
ngùng	ŋ u2 ŋ͡m
ngúng	ŋ u5 ŋ͡m
nguôi	ŋ uə1 j
nguồi	ŋ uə2 j
nguội	ŋ uə6 j
nguồn	ŋ uə2 n
ngụp	ŋ u6 p
ngút	ŋ u5 t
ngụt	ŋ u6 t
nguy	ŋw ʷi1
ngụy	ŋ u6 j
nguyên	ŋw ʷiə1 n
nguyền	ŋw ʷiə2 n
nguyễn	ŋw ʷiə3 n
nguyện	ŋw ʷiə6 n
nguyệt	ŋw ʷiə6 t
nguýt	ŋw ʷi5 t
ngư	ŋ ɯ1
ngừ	ŋ ɯ2
ngữ	ŋ ɯ3
ngứ	ŋ ɯ5
ngự	ŋ ɯ6
ngừa	ŋ ɯə2
ngửa	ŋ ɯə4
ngứa	ŋ ɯə5
ngựa	ŋ ɯə6
ngực	ŋ ɯ6 k
ngửi	ŋ ɯ4 j
ngưng	ŋ ɯ1 ŋ
ngừng	ŋ ɯ2 ŋ
ngước	ŋ ɯə5 k
ngược	ŋ ɯə6 k
ngươi	ŋ ɯə1 j
người	ŋ ɯə2 j
ngưỡng	ŋ ɯə3 ŋ
ngượng	ŋ ɯə6 ŋ
ngưu	ŋ ɯ1 w
nha	ɲ a1
nhà	ɲ a2
nhả	ɲ a4
nhã	ɲ a3
nhá	ɲ a5
nhác	ɲ a5 k
nhạc	ɲ a6 k
nhách	ɲ a5 tʃ
nhai	ɲ a1 j
nhài	ɲ a2 j
nhải	ɲ a4 j
nhãi	ɲ a3 j
nhái	ɲ a5 j
nhại	ɲ a6 j
nham	ɲ a1 m
nhàm	ɲ a2 m
nhảm	ɲ a4 m
nhan	ɲ a1 n
nhàn	ɲ a2 n
nhản	ɲ a4 n
nhãn	ɲ a3 n
nhạn	ɲ a6 n
nhang	ɲ a1 ŋ
nhàng	ɲ a2 ŋ
nhãng	ɲ a3 ŋ
nháng	ɲ a5 ŋ
nhanh	ɲ ɛ1 ɲ
nhành	ɲ ɛ2 ɲ
nhảnh	ɲ ɛ4 ɲ
nhánh	ɲ ɛ5 ɲ
nhạnh	ɲ ɛ6 ɲ
nhao	ɲ a1 w
nhào	ɲ a2 w
nhão	ɲ a3 w
nháo	ɲ a5 w
nhạo	ɲ a6 w
nháp	ɲ a5 p
nhát	ɲ a5 t
nhạt	ɲ a6 t
nhau	ɲ ă1 w
nhàu	ɲ ă2 w
nhay	ɲ ă1 j
nhảy	ɲ ă4 j
nháy	ɲ ă5 j
nhạy	ɲ ă6 j
nhắc	ɲ ă5 k
nhăm	ɲ ă1 m
nhằm	ɲ ă2 m
nhắm	ɲ ă5 m
nhăn	ɲ ă1 n
nhằn	ɲ ă2 n
nhẵn	ɲ ă3 n
nhắn	ɲ ă5 n
nhặn	ɲ ă6 n
nhăng	ɲ ă1 ŋ
nhằng	ɲ ă2 ŋ
nhắng	ɲ ă5 ŋ
nhặng	ɲ ă6 ŋ
nhắt	ɲ ă5 t
nhặt	ɲ ă6 t
nhấc	ɲ ɤ̆5 k
nhâm	ɲ ɤ̆1 m
nhầm	ɲ ɤ̆2 m
nhẩm	ɲ ɤ̆4 m
nhấm	ɲ ɤ̆5 m
nhậm	ɲ ɤ̆6 m
nhân	ɲ ɤ̆1 n
nhẫn	ɲ ɤ̆3 n
nhấn	ɲ ɤ̆5 n
nhận	ɲ ɤ̆6 n
nhấp	ɲ ɤ̆5 p
nhập	ɲ ɤ̆6 p
nhất	ɲ ɤ̆5 t
nhật	ɲ ɤ̆6 t
nhậu	ɲ ɤ̆6 w
nhầy	ɲ ɤ̆2 j
nhẩy	ɲ ɤ̆4 j
nhẫy	ɲ ɤ̆3 j
nhe	ɲ ɛ1
nhè	ɲ ɛ2
nhẻ	ɲ ɛ4
nhẽ	ɲ ɛ3
nhé	ɲ ɛ5
nhẹ	ɲ ɛ6
nhem	ɲ ɛ1 m
nhèm	ɲ ɛ2 m
nhẻm	ɲ ɛ4 m
nhẹm	ɲ ɛ6 m
nhen	ɲ ɛ1 n
nhẹn	ɲ ɛ6 n
nheo	ɲ eo1
nhẽo	ɲ eo3
nhép	ɲ ɛ5 p
nhẹp	ɲ ɛ6 p
nhét	ɲ ɛ5 t
nhẹt	ɲ ɛ6 t
nhễ	ɲ e3
nhếch	ɲ e5 tʃ
nhện	ɲ e6 n
nhi	ɲ i1
nhì	ɲ i2
nhỉ	ɲ i4
nhĩ	ɲ i3
nhí	ɲ i5
nhị	ɲ i6
nhích	ɲ i5 tʃ
nhiếc	ɲ iə5 k
nhiễm	ɲ iə3 m
nhiệm	ɲ iə6 m
nhiên	ɲ iə1 n
nhiếp	ɲ iə5 p
nhiệt	ɲ iə6 t
nhiêu	ɲ iə1 w
nhiều	ɲ iə2 w
nhiễu	ɲ iə3 w
nhím	ɲ i5 m
nhìn	ɲ i2 n
nhịn	ɲ i6 n
nhỉnh	ɲ i4 ɲ
nhíp	ɲ i5 p
nhịp	ɲ i6 p
nhít	ɲ i5 t
nhíu	ɲ i5 w
nho	ɲ ɔ1
nhỏ	ɲ ɔ4
nhó	ɲ ɔ5
nhọ	ɲ ɔ6
nhòa	ɲw ʷa2
nhoài	ɲw a2 j
nhoàm	ɲw ʷa2 m
nhoáng	ɲw ʷa5 ŋ
nhoạng	ɲw ʷa6 ŋ
nhóc	ɲ ɔ5 k͡p
nhọc	ɲ ɔ6 k͡p
nhoe	ɲw ʷɛ1
nhòe	ɲw ʷɛ2
nhoẻn	ɲw ʷɛ4 n
nhoét	ɲw ʷɛ5 t
nhoi	ɲ ɔ1 j
nhói	ɲ ɔ5 j
nhom	ɲ ɔ1 m
nhòm	ɲ ɔ2 m
nhỏm	ɲ ɔ4 m
nhõm	ɲ ɔ3 m
nhóm	ɲ ɔ5 m
nhõn	ɲ ɔ3 n
nhọn	ɲ ɔ6 n
nhong	ɲ ɔ1 ŋ͡m
nhõng	ɲ ɔ3 ŋ͡m
nhóng	ɲ ɔ5 ŋ͡m
nhóp	ɲ ɔ5 p
nhót	ɲ ɔ5 t
nhọt	ɲ ɔ6 t
nhô	ɲ o1
nhổ	ɲ o4
nhố	ɲ o5
nhồi	ɲ o2 j
nhối	ɲ o5 j
nhôm	ɲ o1 m
nhồm	ɲ o2 m
nhổm	ɲ o4 m
nhồn	ɲ o2 n
nhổn	ɲ o4 n
nhộn	ɲ o6 n
nhông	ɲ o1 ŋ͡m
nhồng	ɲ o2 ŋ͡m
nhộng	ɲ o6 ŋ͡m
nhốt	ɲ o5 t
nhột	ɲ o6 t
nhơ	ɲ ɤ1
nhờ	ɲ ɤ2
nhở	ɲ ɤ4
nhỡ	ɲ ɤ3
nhớ	ɲ ɤ5
nhơi	ɲ ɤ1 j
nhơn	ɲ ɤ1 n
nhờn	ɲ ɤ2 n
nhớp	ɲ ɤ5 p
nhớt	ɲ ɤ5 t
nhợt	ɲ ɤ6 t
nhu	ɲ u1
nhù	ɲ u2
nhủ	ɲ u4
nhũ	ɲ u3
nhú	ɲ u5
nhúa	ɲ uə5
nhụa	ɲ uə6
nhuần	ɲw ʷɤ̆2 n
nhuận	ɲw ʷɤ̆6 n
nhúc	ɲ u5 k͡p
nhục	ɲ u6 k͡p
nhuệ	ɲw ʷe6
nhùi	ɲ u2 j
nhủi	ɲ u4 j
nhụi	ɲ u6 j
nhum	ɲ u1 m
nhúm	ɲ u5 m
nhún	ɲ u5 n
nhung	ɲ u1 ŋ͡m
nhùng	ɲ u2 ŋ͡m
nhũng	ɲ u3 ŋ͡m
nhúng	ɲ u5 ŋ͡m
nhuốc	ɲ uə5 k
nhuốm	ɲ uə5 m
nhuộm	ɲ uə6 m
nhút	ɲ u5 t
nhụt	ɲ u6 t
nhụy	ɲ u6 j
nhuyễn	ɲw ʷiə3 n
như	ɲ ɯ1
nhừ	ɲ ɯ2
nhử	ɲ ɯ4
nhứ	ɲ ɯ5
nhựa	ɲ ɯə6
nhức	ɲ ɯ5 k
nhưng	ɲ ɯ1 ŋ
những	ɲ ɯ3 ŋ
nhược	ɲ ɯə6 k
nhường	ɲ ɯə2 ŋ
nhưỡng	ɲ ɯə3 ŋ
nhướng	ɲ ɯə5 ŋ
nhượng	ɲ ɯə6 ŋ
nhứt	ɲ ɯ5 t
nhựt	ɲ ɯ6 t
ni	n i1
nì	n i2
nỉ	n i4
nia	n iə1
nĩa	n iə3
ních	n i5 tʃ
nịch	n i6 tʃ
niêm	n iə1 m
niềm	n iə2 m
niệm	n iə6 m
niên	n iə1 n
niềng	n iə2 ŋ
niễng	n iə3 ŋ
niết	n iə5 t
niêu	n iə1 w
niệu	n iə6 w
nin	n i1 n
nín	n i5 n
ninh	n i1 ɲ
nính	n i5 ɲ
nịnh	n i6 ɲ
nít	n i5 t
nịt	n i6 t
niu	n i1 w
níu	n i5 w
nịu	n i6 w
no	n ɔ1
nỏ	n ɔ4
nó	n ɔ5
nọ	n ɔ6
noãn	nw ʷa3 n
nóc	n ɔ5 k͡p
nọc	n ɔ6 k͡p
noi	n ɔ1 j
nòi	n ɔ2 j
nói	n ɔ5 j
nom	n ɔ1 m
non	n ɔ1 n
nõn	n ɔ3 n
nón	n ɔ5 n
nong	n ɔ1 ŋ͡m
nóng	n ɔ5 ŋ͡m
nọng	n ɔ6 ŋ͡m
nót	n ɔ5 t
nọt	n ɔ6 t
nô	n o1
nồ	n o2
nổ	n o4
nỗ	n o3
nố	n o5
nộ	n o6
nốc	n o5 k͡p
nộc	n o6 k͡p
nôi	n o1 j
nồi	n o2 j
nổi	n o4 j
nỗi	n o3 j
nối	n o5 j
nội	n o6 j
nôm	n o1 m
nồm	n o2 m
nộm	n o6 m
nôn	n o1 n
nộn	n o6 n
nông	n o1 ŋ͡m
nồng	n o2 ŋ͡m
nống	n o5 ŋ͡m
nộp	n o6 p
nốt	n o5 t
nơ	n ɤ1
nờ	n ɤ2
nở	n ɤ4
nỡ	n ɤ3
nớ	n ɤ5
nợ	n ɤ6
nơi	n ɤ1 j
nới	n ɤ5 j
nơm	n ɤ1 m
nớp	n ɤ5 p
nớt	n ɤ5 t
nu	n u1
nụ	n u6
nua	n uə1
núc	n u5 k͡p
núi	n u5 j
núm	n u5 m
nung	n u1 ŋ͡m
nùng	n u2 ŋ͡m
nũng	n u3 ŋ͡m
núng	n u5 ŋ͡m
nuôi	n uə1 j
nuối	n uə5 j
nuông	n uə1 ŋ
nuốt	n uə5 t
nuột	n uə6 t
núp	n u5 p
nút	n u5 t
nư	n ɯ1
nữ	n ɯ3
nự	n ɯ6
nưa	n ɯə1
nửa	n ɯə4
nữa	n ɯə3
nứa	n ɯə5
nức	n ɯ5 k
nực	n ɯ6 k
nựng	n ɯ6 ŋ
nước	n ɯə5 k
nương	n ɯə1 ŋ
nướng	n ɯə5 ŋ
nướu	n ɯə5 w
nứt	n ɯ5 t
o	ɔ1
ò	ɔ2
ó	ɔ5
òa	w ʷa2
oác	w ʷa5 k
oách	w ʷa5 tʃ
oai	w a1 j
oải	w a4 j
oái	w a5 j
oại	w a6 j
oan	w ʷa1 n
oán	w ʷa5 n
oang	w ʷa1 ŋ
oàng	w ʷa2 ŋ
oanh	w ʷa1 ɲ
oành	w ʷa2 ɲ
oánh	w ʷa5 ɲ
oạp	w ʷa6 p
oăm	w ʷă1 m
oằn	w ʷă2 n
oắt	w ʷă5 t
óc	ɔ5 k͡p
ọc	ɔ6 k͡p
oe	w ʷɛ1
óe	w ʷɛ5
ọe	w ʷɛ6
oi	ɔ1 j
ỏi	ɔ4 j
ói	ɔ5 j
om	ɔ1 m
òn	ɔ2 n
ỏn	ɔ4 n
ong	ɔ1 ŋ͡m
òng	ɔ2 ŋ͡m
ỏng	ɔ4 ŋ͡m
õng	ɔ3 ŋ͡m
óng	ɔ5 ŋ͡m
ọp	ɔ6 p
ô	o1
ồ	o2
ổ	o4
ố	o5
ốc	o5 k͡p
ộc	o6 k͡p
ôi	o1 j
ổi	o4 j
ối	o5 j
ôm	o1 m
ốm	o5 m
ôn	o1 n
ồn	o2 n
ổn	o4 n
ộn	o6 n
