a	a1
chửng	c ɯ4 ŋ
chững	c ɯ3 ŋ
chứng	c ɯ5 ŋ
chước	c ɯə5 k
chược	c ɯə6 k
chưởi	c ɯə4 j
chườm	c ɯə2 m
chương	c ɯə1 ŋ
chường	c ɯə2 ŋ
chưởng	c ɯə4 ŋ
chướng	c ɯə5 ŋ
co	k ɔ1
cò	k ɔ2
cỏ	k ɔ4
có	k ɔ5
cọ	k ɔ6
cóc	k ɔ5 k͡p
cọc	k ɔ6 k͡p
coi	k ɔ1 j
còi	k ɔ2 j
cỏi	k ɔ4 j
cõi	k ɔ3 j
cói	k ɔ5 j
còm	k ɔ2 m
con	k ɔ1 n
còn	k ɔ2 n
cọn	k ɔ6 n
cong	k ɔ1 ŋ͡m
còng	k ɔ2 ŋ͡m
cõng	k ɔ3 ŋ͡m
cóng	k ɔ5 ŋ͡m
cọng	k ɔ6 ŋ͡m
cóp	k ɔ5 p
cọp	k ɔ6 p
cót	k ɔ5 t
cọt	k ɔ6 t
cô	k o1
cồ	k o2
cổ	k o4
cỗ	k o3
cố	k o5
cộ	k o6
cốc	k o5 k͡p
côi	k o1 j
cỗi	k o3 j
cối	k o5 j
cội	k o6 j
côm	k o1 m
cồm	k o2 m
cốm	k o5 m
cộm	k o6 m
côn	k o1 n
cồn	k o2 n
công	k o1 ŋ͡m
cồng	k o2 ŋ͡m
cổng	k o4 ŋ͡m
cống	k o5 ŋ͡m
cộng	k o6 ŋ͡m
cốp	k o5 p
cộp	k o6 p
cốt	k o5 t
cột	k o6 t
cơ	k ɤ1
cờ	k ɤ2
cỡ	k ɤ3
cớ	k ɤ5
cơi	k ɤ1 j
cời	k ɤ2 j
cởi	k ɤ4 j
cỡi	k ɤ3 j
cơm	k ɤ1 m
cơn	k ɤ1 n
cỡn	k ɤ3 n
cợt	k ɤ6 t
cu	k u1
cù	k u2
củ	k u4
cũ	k u3
cú	k u5
cụ	k u6
cua	k uə1
cùa	k uə2
của	k uə4
cúc	k u5 k͡p
cục	k u6 k͡p
cui	k u1 j
cùi	k u2 j
củi	k u4 j
cũi	k u3 j
cúi	k u5 j
cụi	k u6 j
cùm	k u2 m
cúm	k u5 m
cụm	k u6 m
cun	k u1 n
cùn	k u2 n
cũn	k u3 n
cún	k u5 n
cung	k u1 ŋ͡m
cùng	k u2 ŋ͡m
củng	k u4 ŋ͡m
cũng	k u3 ŋ͡m
cúng	k u5 ŋ͡m
cuốc	k uə5 k
cuộc	k uə6 k
cuối	k uə5 j
cuội	k uə6 j
cuỗm	k uə3 m
cuồn	k uə2 n
cuốn	k uə5 n
cuộn	k uə6 n
cuông	k uə1 ŋ
cuồng	k uə2 ŋ
cuống	k uə5 ŋ
cúp	k u5 p
cụp	k u6 p
cút	k u5 t
cụt	k u6 t
cư	k ɯ1
cừ	k ɯ2
cử	k ɯ4
cữ	k ɯ3
cứ	k ɯ5
cự	k ɯ6
cưa	k ɯə1
cửa	k ɯə4
cứa	k ɯə5
cựa	k ɯə6
cực	k ɯ6 k
cửi	k ɯ4 j
cưng	k ɯ1 ŋ
cứng	k ɯ5 ŋ
cước	k ɯə5 k
cược	k ɯə6 k
cười	k ɯə2 j
cưỡi	k ɯə3 j
cưới	k ɯə5 j
cườm	k ɯə2 m
cương	k ɯə1 ŋ
cường	k ɯə2 ŋ
cưỡng	k ɯə3 ŋ
cướp	k ɯə5 p
cứt	k ɯ5 t
cưu	k ɯ1 w
cừu	k ɯ2 w
cửu	k ɯ4 w
cứu	k ɯ5 w
cựu	k ɯ6 w
da	z a1
dà	z a2
dả	z a4
dã	z a3
dạ	z a6
dác	z a5 k
dạc	z a6 k
dai	z a1 j
dài	z a2 j
dải	z a4 j
dãi	z a3 j
dại	z a6 j
dám	z a5 m
dạm	z a6 m
dan	z a1 n
dàn	z a2 n
dãn	z a3 n
dán	z a5 n
dạn	z a6 n
dang	z a1 ŋ
dàng	z a2 ŋ
dáng	z a5 ŋ
dạng	z a6 ŋ
danh	z ɛ1 ɲ
dành	z ɛ2 ɲ
dao	z a1 w
dào	z a2 w
dáo	z a5 w
dạo	z a6 w
dát	z a5 t
dạt	z a6 t
day	z ă1 j
dày	z ă2 j
dãy	z ă3 j
dáy	z ă5 j
dạy	z ă6 j
dặc	z ă6 k
dăm	z ă1 m
dặm	z ă6 m
dằn	z ă2 n
dặn	z ă6 n
dăng	z ă1 ŋ
dằng	z ă2 ŋ
dẳng	z ă4 ŋ
dắt	z ă5 t
dặt	z ă6 t
dâm	z ɤ̆1 m
dầm	z ɤ̆2 m
dẫm	z ɤ̆3 m
dấm	z ɤ̆5 m
dậm	z ɤ̆6 m
dân	z ɤ̆1 n
dần	z ɤ̆2 n
dẩn	z ɤ̆4 n
dẫn	z ɤ̆3 n
dấn	z ɤ̆5 n
dâng	z ɤ̆1 ŋ
dấp	z ɤ̆5 p
dập	z ɤ̆6 p
dật	z ɤ̆6 t
dâu	z ɤ̆1 w
dầu	z ɤ̆2 w
dẫu	z ɤ̆3 w
dấu	z ɤ̆5 w
dậu	z ɤ̆6 w
dây	z ɤ̆1 j
dẫy	z ɤ̆3 j
dấy	z ɤ̆5 j
dậy	z ɤ̆6 j
dè	z ɛ2
dẻ	z ɛ4
dẽ	z ɛ3
dẻo	z eo4
dép	z ɛ5 p
dẹp	z ɛ6 p
dẹt	z ɛ6 t
dê	z e1
dề	z e2
dể	z e4
dễ	z e3
dế	z e5
dền	z e2 n
dềnh	z e2 ɲ
dệt	z e6 t
di	z i1
dì	z i2
dĩ	z i3
dí	z i5
dị	z i6
dĩa	z iə3
día	z iə5
dịch	z i6 tʃ
diếc	z iə5 k
diệc	z iə6 k
diêm	z iə1 m
diễm	z iə3 m
diệm	z iə6 m
diễn	z iə3 n
diện	z iə6 n
diếp	z iə5 p
diệp	z iə6 p
diết	z iə5 t
diệt	z iə6 t
diêu	z iə1 w
diều	z iə2 w
diễu	z iə3 w
diệu	z iə6 w
dim	z i1 m
dìm	z i2 m
dinh	z i1 ɲ
dính	z i5 ɲ
díp	z i5 p
dịp	z i6 p
dìu	z i2 w
díu	z i5 w
dịu	z i6 w
do	z ɔ1
dò	z ɔ2
dó	z ɔ5
dọ	z ɔ6
dọa	zw ʷa6
doãn	zw ʷa3 n
doanh	zw ʷa1 ɲ
dóc	z ɔ5 k͡p
dọc	z ɔ6 k͡p
dòi	z ɔ2 j
dõi	z ɔ3 j
dòm	z ɔ2 m
dỏm	z ɔ4 m
don	z ɔ1 n
dọn	z ɔ6 n
dong	z ɔ1 ŋ͡m
dòng	z ɔ2 ŋ͡m
dỏng	z ɔ4 ŋ͡m
dõng	z ɔ3 ŋ͡m
dỗ	z o3
dốc	z o5 k͡p
dôi	z o1 j
dồi	z o2 j
dỗi	z o3 j
dối	z o5 j
dội	z o6 j
dồn	z o2 n
dông	z o1 ŋ͡m
dốt	z o5 t
dột	z o6 t
dơ	z ɤ1
dở	z ɤ4
dỡ	z ɤ3
dớ	z ɤ5
dơi	z ɤ1 j
dời	z ɤ2 j
dởm	z ɤ4 m
dờn	z ɤ2 n
dớt	z ɤ5 t
dợt	z ɤ6 t
du	z u1
dù	z u2
dũ	z u3
dụ	z u6
dua	z uə1
dũa	z uə3
duật	zw ʷɤ̆6 t
dục	z u6 k͡p
duệ	zw ʷe6
dùi	z u2 j
dúi	z u5 j
dụi	z u6 j
dúm	z u5 m
dụm	z u6 m
dún	z u5 n
dung	z u1 ŋ͡m
dùng	z u2 ŋ͡m
dũng	z u3 ŋ͡m
dụng	z u6 ŋ͡m
duỗi	z uə3 j
duy	zw ʷi1
duyên	zw ʷiə1 n
duyệt	zw ʷiə6 t
dư	z ɯ1
dữ	z ɯ3
dứ	z ɯ5
dự	z ɯ6
dưa	z ɯə1
dừa	z ɯə2
dứa	z ɯə5
dựa	z ɯə6
dực	z ɯ6 k
dưng	z ɯ1 ŋ
dừng	z ɯ2 ŋ
dửng	z ɯ4 ŋ
dựng	z ɯ6 ŋ
dược	z ɯə6 k
dưới	z ɯə5 j
dương	z ɯə1 ŋ
dường	z ɯə2 ŋ
dưỡng	z ɯə3 ŋ
dượt	z ɯə6 t
dứt	z ɯ5 t
đa	d a1
đà	d a2
đả	d a4
đã	d a3
đá	d a5
đác	d a5 k
đạc	d a6 k
đạch	d a6 tʃ
đai	d a1 j
đài	d a2 j
đãi	d a3 j
đái	d a5 j
đại	d a6 j
đam	d a1 m
đàm	d a2 m
đảm	d a4 m
đám	d a5 m
đạm	d a6 m
đan	d a1 n
đàn	d a2 n
đản	d a4 n
đán	d a5 n
đạn	d a6 n
đang	d a1 ŋ
đàng	d a2 ŋ
đảng	d a4 ŋ
đãng	d a3 ŋ
đáng	d a5 ŋ
đanh	d ɛ1 ɲ
đành	d ɛ2 ɲ
đánh	d ɛ5 ɲ
đao	d a1 w
đào	d a2 w
đảo	d a4 w
đáo	d a5 w
đạo	d a6 w
đáp	d a5 p
đạp	d a6 p
đạt	d a6 t
đau	d ă1 w
đáu	d ă5 w
đay	d ă1 j
đày	d ă2 j
đáy	d ă5 j
đắc	d ă5 k
đặc	d ă6 k
đăm	d ă1 m
đằm	d ă2 m
đắm	d ă5 m
đắn	d ă5 n
đặn	d ă6 n
đăng	d ă1 ŋ
đằng	d ă2 ŋ
đẳng	d ă4 ŋ
đẵng	d ă3 ŋ
đắng	d ă5 ŋ
đặng	d ă6 ŋ
đắp	d ă5 p
đắt	d ă5 t
đặt	d ă6 t
đâm	d ɤ̆1 m
đầm	d ɤ̆2 m
